Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/105620982,105620982,Research Client Check Copy,WI2,Open,2020-10-23
,https://acme-test.uipath.com/work-items/105620972,105620972,Research Client Check Copy,WI2,Open,2017-05-23
,https://acme-test.uipath.com/work-items/105621003,105621003,Verify Account Position,WI1,Open,2017-07-12
,https://acme-test.uipath.com/work-items/105621013,105621013,Verify Account Position,WI1,Open,2017-10-13
,https://acme-test.uipath.com/work-items/105621026,105621026,Verify Account Position,WI1,Open,2017-12-07
,https://acme-test.uipath.com/work-items/105621012,105621012,Verify Account Position,WI1,Open,2024-11-03
,https://acme-test.uipath.com/work-items/105620923,105620923,Calculate Client Security Hash,WI5,Open,2017-03-11
,https://acme-test.uipath.com/work-items/105620939,105620939,Calculate Client Security Hash,WI5,Open,2022-03-20
,https://acme-test.uipath.com/work-items/105620985,105620985,Research Client Check Copy,WI2,Open,2020-09-24
,https://acme-test.uipath.com/work-items/105620950,105620950,Generate Yearly Report for Vendor,WI4,Open,2024-02-28
,https://acme-test.uipath.com/work-items/105621034,105621034,Verify Account Position,WI1,Open,2020-02-20
,https://acme-test.uipath.com/work-items/105621030,105621030,Verify Account Position,WI1,Open,2020-09-17
,https://acme-test.uipath.com/work-items/105621025,105621025,Verify Account Position,WI1,Open,2021-03-24
,https://acme-test.uipath.com/work-items/105620927,105620927,Calculate Client Security Hash,WI5,Open,2019-01-25
,https://acme-test.uipath.com/work-items/105621021,105621021,Verify Account Position,WI1,Open,2022-09-27
,https://acme-test.uipath.com/work-items/105620949,105620949,Generate Yearly Report for Vendor,WI4,Open,2025-02-28
,https://acme-test.uipath.com/work-items/105620961,105620961,Research Client Check Copy,WI2,Open,2018-09-10
,https://acme-test.uipath.com/work-items/105621007,105621007,Verify Account Position,WI1,Open,2022-02-10
,https://acme-test.uipath.com/work-items/105620959,105620959,Process Vendor Invoice,WI3,Open,2023-03-19
,https://acme-test.uipath.com/work-items/105621005,105621005,Verify Account Position,WI1,Open,2017-02-10
,https://acme-test.uipath.com/work-items/105620936,105620936,Calculate Client Security Hash,WI5,Open,2023-07-31
,https://acme-test.uipath.com/work-items/105620954,105620954,Process Vendor Invoice,WI3,Open,2020-08-29
,https://acme-test.uipath.com/work-items/105621011,105621011,Verify Account Position,WI1,Open,2023-01-31
,https://acme-test.uipath.com/work-items/105620948,105620948,Generate Yearly Report for Vendor,WI4,Open,2018-06-05
,https://acme-test.uipath.com/work-items/105621023,105621023,Verify Account Position,WI1,Open,2025-03-17
,https://acme-test.uipath.com/work-items/105620928,105620928,Calculate Client Security Hash,WI5,Open,2018-01-28
,https://acme-test.uipath.com/work-items/105620995,105620995,Research Client Check Copy,WI2,Open,2021-08-20
